name,latitude,longitude
kbyJYJzqEVkEmpc,13.02286004,77.68891136
qbgufTPzZEkxNHV,13.09367482,77.70277883
XWIXkuyDacCmsaE,12.90287865,77.63320683
PWMPzEhgQSIJFtLl,12.8645325,77.7314355
PWMPzEhgQSIJFtL,12.86532117,77.731473
MHveToenbpcMPeW,13.07045602,77.61095505
WItnvWIntfoiilf,13.00235581,77.68354834
DPjNIjFDGUdRaNP,12.9826549,77.59337744
SMLuzwDVgJxZDJm,13.06528184,77.47249963
vAbbuCYbFLCXICj,12.99046323,77.67294948
rLfczOfLhEoRnGZ,12.90993785,77.68557472
edieHBeImKgBQAJ,12.93895913,77.46586954
GOwLhWmXEfYOmVX,12.90129114,77.67374439
orOQKFbRAoHeqcJ,12.88925228,77.59694537
CdWAxHeYVjKBRoq,13.09373823,77.71307804
lqKiDFBZBTWUez,12.9832613,77.67860108
lqKiDFBZBTWXUez,12.98372613,77.67840868
eNmJDTcGphYUOiL,12.90105405,77.72835217
sjislLxiXZmXLXrA,12.87368879,77.50616776
sjislLxiXZmXLXr,12.87407949,77.50552922
PMiOQVrAkdXaIku,12.99914347,77.62427096
tnbuHQPEFCTHbM,12.9908439,77.54405971
KtnbuHQPEFCTHbM,12.99117668,77.54470054
XLAftyVglwWYsGW,12.91219248,77.73902379
rZxvAzqBqmxjOvp,13.08241912,77.497992
zQDGraifUKPvJXrh,12.91248614,77.71990941
zQDGraifUKPvJXr,12.91209029,77.7206106
nDUUMkFmhvWSeKA,12.99938553,77.52447073
pTSAacswfCkLTrH,12.87880896,77.59037238
LnDIkeWZGiDzBbG,12.95153959,77.47294797
ChJfRzoluYXLLJA,12.88827506,77.60459364
SwTyWHAtgBNNwyO,12.98394737,77.65270791
kpkmIKHoUVIufgD,12.9889333,77.61358867
IcpEXtdzmmRLCWr,12.87866622,77.58388551
AjpQlKTWzTIbhZR,12.99508017,77.65264226
fsJxXgslhutMiTc,12.897211,77.54057681
KdyidcbCRDnYnmN,12.87863063,77.61571364
QFXbeahTXokzxXE,12.86595646,77.73823206
IcDAjGOxTMfSHPF,13.0092438,77.47278516
TVAaGCcKLfPKBSc,13.03836496,77.65188766
ZqYiEiXtnNdnMQd,12.89039654,77.5117872
skziWqCsJpYkKUr,13.05053952,77.56446451
EzXfmMXrcmOPODa,13.0945611,77.70123553
osLsWAOQUdGDZYQ,12.99680431,77.67688771
xaxGBTpqceCpeQo,13.08241774,77.48956202
vowfjrCAhFjsuFU,13.09463521,77.67534984
sTPYKDcRDklHquz,13.06009716,77.52928022
