,name,latitude,longitude,is_similar
0,kbyJYJzqEVkEmpc,13.02286004,77.68891136,0
1,qbgufTPzZEkxNHV,13.09367482,77.70277883,0
2,XWIXkuyDacCmsaE,12.90287865,77.63320683,0
3,PWMPzEhgQSIJFtLl,12.8645325,77.7314355,1
4,PWMPzEhgQSIJFtL,12.86532117,77.731473,1
5,MHveToenbpcMPeW,13.07045602,77.61095505,0
6,WItnvWIntfoiilf,13.00235581,77.68354834,0
7,DPjNIjFDGUdRaNP,12.9826549,77.59337744,0
8,SMLuzwDVgJxZDJm,13.06528184,77.47249963,0
9,vAbbuCYbFLCXICj,12.99046323,77.67294948,0
10,rLfczOfLhEoRnGZ,12.90993785,77.68557472,0
11,edieHBeImKgBQAJ,12.93895913,77.46586954,0
12,GOwLhWmXEfYOmVX,12.90129114,77.67374439,0
13,orOQKFbRAoHeqcJ,12.88925228,77.59694537,0
14,CdWAxHeYVjKBRoq,13.09373823,77.71307804,0
15,lqKiDFBZBTWUez,12.9832613,77.67860108,1
16,lqKiDFBZBTWXUez,12.98372613,77.67840868,1
17,eNmJDTcGphYUOiL,12.90105405,77.72835217,0
18,sjislLxiXZmXLXrA,12.87368879,77.50616776,1
19,sjislLxiXZmXLXr,12.87407949,77.50552922,1
20,PMiOQVrAkdXaIku,12.99914347,77.62427096,0
21,tnbuHQPEFCTHbM,12.9908439,77.54405971,1
22,KtnbuHQPEFCTHbM,12.99117668,77.54470054,1
23,XLAftyVglwWYsGW,12.91219248,77.73902379,0
24,rZxvAzqBqmxjOvp,13.08241912,77.497992,0
25,zQDGraifUKPvJXrh,12.91248614,77.71990941,1
26,zQDGraifUKPvJXr,12.91209029,77.7206106,1
27,nDUUMkFmhvWSeKA,12.99938553,77.52447073,0
28,pTSAacswfCkLTrH,12.87880896,77.59037238,0
29,LnDIkeWZGiDzBbG,12.95153959,77.47294797,0
30,ChJfRzoluYXLLJA,12.88827506,77.60459364,0
31,SwTyWHAtgBNNwyO,12.98394737,77.65270791,0
32,kpkmIKHoUVIufgD,12.9889333,77.61358867,0
33,IcpEXtdzmmRLCWr,12.87866622,77.58388551,0
34,AjpQlKTWzTIbhZR,12.99508017,77.65264226,0
35,fsJxXgslhutMiTc,12.897211,77.54057681,0
36,KdyidcbCRDnYnmN,12.87863063,77.61571364,0
37,QFXbeahTXokzxXE,12.86595646,77.73823206,0
38,IcDAjGOxTMfSHPF,13.0092438,77.47278516,0
39,TVAaGCcKLfPKBSc,13.03836496,77.65188766,0
40,ZqYiEiXtnNdnMQd,12.89039654,77.5117872,0
41,skziWqCsJpYkKUr,13.05053952,77.56446451,0
42,EzXfmMXrcmOPODa,13.0945611,77.70123553,0
43,osLsWAOQUdGDZYQ,12.99680431,77.67688771,0
44,xaxGBTpqceCpeQo,13.08241774,77.48956202,0
45,vowfjrCAhFjsuFU,13.09463521,77.67534984,0
46,sTPYKDcRDklHquz,13.06009716,77.52928022,0
47,hERpHEmvMnatBqq,12.95768668,77.44905194,0
48,lwzJQhDNjFeZaGu,13.0839943,77.64385893,0
49,ZtGYasvPbFraLKt,12.94126663,77.45607967,0
50,scHiTOxyvnkkeoK,13.07936441,77.54146126,0
51,kDCpRTCvAAxSHki,12.92046669,77.46194735,0
52,IiUaIKLepwZKsK,12.91042244,77.59244421,1
53,IiUaIKLepwZlKsK,12.91128729,77.59196144,1
54,YThcnZeITZSBWti,13.06170419,77.46981109,0
55,UGMWtjvSRqgJVnG,13.01752895,77.62423508,0
56,OUidkjxBLedTuHH,13.04162785,77.72598449,0
57,izdTHTBEbYaEgOX,13.03365163,77.71765686,0
58,PUEPIdrCLOanVoe,12.99804691,77.62951875,0
59,AHzXGncOYekvbc,12.90672149,77.70340274,1
60,AHzXGncOYekMvbc,12.90589412,77.70314404,1
61,wUimqZxiywwEpgW,12.87009716,77.56142216,0
62,WmrWTJjSeoDNKrY,13.05255403,77.72506752,0
63,PSKniQjkACaYDAF,12.85464227,77.51795987,0
64,ldVvnlZYRRQIARe,13.00623614,77.6487661,0
65,zXFOuQMpUCQNvwN,13.00147581,77.55459404,0
66,cfCcavzCtxehzgB,13.01635107,77.7140458,0
67,bYYGjWYrhFUbeMw,13.09147894,77.64326137,0
68,RDRnTMfmYfSiWLa,12.87342627,77.59219469,0
69,DkRreiaFouYeugQi,13.02865939,77.50803626,1
70,DkRreiaFouYeugQ,13.02849588,77.50866651,1
71,UhTpjPyNxMNPLTu,12.96433664,77.61389929,0
72,ZMBcVAKMKMvEWGe,13.08047196,77.54533922,0
73,FJPspVZZjtCpGhD,12.96395796,77.58372001,0
74,VVYyShvmxawkABS,12.99987048,77.55501223,0
75,FtLcazuLGZorHIp,12.90432594,77.56540886,0
76,QXhfUHXfnEuMLzK,12.86915746,77.55454983,0
77,MOevNigvbIPFlIw,12.90516803,77.53557985,0
78,yedOHCLujmIAmrw,12.87589629,77.53438208,0
79,yEBaScGavnPNhaO,12.98390381,77.67301246,0
80,gbxCPStfxHtqGPj,12.89011083,77.69536264,0
81,xUkXBAtfaYztalY,12.86661776,77.70629123,0
82,LkdKFkvwYOizHhG,13.07524687,77.67856557,0
83,aXvBGKUTNkPDxiFC,12.98073315,77.5255609,1
84,aXvBGKUTNkPDxiF,12.98167558,77.52547079,1
85,SdxKQfPDkfXEQK,12.9300119,77.64535691,1
86,SGdxKQfPDkfXEQK,12.92977862,77.64581473,1
87,rkWeIcJsMGhJvVj,12.90985126,77.58992159,0
88,faGJXWFYNHSPmtc,12.92943032,77.50693087,0
89,QZWPyfoWhsGVegx,12.96152179,77.57741533,0
90,gimvnlEtvGcieTP,12.85855872,77.51094535,0
91,kUeXLNDvRBgMgJ,12.90268571,77.46886737,1
92,kUeXLNDkvRBgMgJ,12.90363218,77.46820674,1
93,zMnIJyjWeDzIiFN,12.92184234,77.69292737,0
94,JJppBmEBESHHEKM,12.97348296,77.60259963,0
95,iLozbVApJSXmlET,12.88619366,77.73511735,0
96,qRkXfDsDXmkPhiV,13.06470297,77.49609752,0
97,djfMAJHQMwctzlr,12.86597709,77.71936637,0
98,aTVCnxWtroJHYze,12.90899347,77.56406846,0
99,KUDVyRreQFprfGM,13.05255686,77.49718136,0
100,oghZJueuCoOVFFb,12.88511467,77.5295542,0
101,qwyZbldyIiMwAtX,13.09523598,77.7012832,0
102,mdwjLVCzawRJRbF,12.98897033,77.66838579,0
103,ubwcOdJpSzYjTsq,12.95573753,77.61363584,0
104,tjMQLReAgmwYMHS,13.0622491,77.51225827,0
105,WVmetzSiurfiAUL,12.91256116,77.4526941,0
106,ozDTqvwhYQBROfD,13.05794787,77.49674734,0
107,kevkYpwoeByGkFr,12.94299412,77.54395973,0
108,dMUDcoSkcZbFKdV,12.87697772,77.65820071,0
109,kAbqVgEBpxFnneeo,12.96097507,77.57004912,1
110,kAbqVgEBpxFnnee,12.96141321,77.57019867,1
111,lTtlymCLWsWZWsVq,12.87696321,77.73722145,1
112,lTtlymCLWsWZWsV,12.87673497,77.73676928,1
113,iBRAngLgCvBRSdG,13.02433908,77.56113474,0
114,OQwFZvRDfaPmST,13.02359602,77.61059259,1
115,OQwFZvRDfaXPmST,13.0229522,77.61072906,1
116,phXvLqAWrLDZhtd,12.88268889,77.66603176,0
117,UHFkwweTReUSDKq,12.98506841,77.64400192,0
118,NibgfyKYxNWbeKLg,12.91328486,77.64198737,1
119,NibgfyKYxNWbeKL,12.91389187,77.64292344,1
120,qJppelDtodtuwlS,13.06542173,77.6967317,0
121,oUvkVqDnWziwqkHa,12.86031539,77.71437757,1
122,oUvkVqDnWziwqkH,12.85951774,77.71387691,1
123,gJCMWixYCxiCsRi,12.89060617,77.45334686,0
124,AFqPgmEocwIFzLt,13.02030556,77.54426001,0
125,ToRGkjGtfriNKrG,13.07633664,77.50825743,0
126,uSpRTMsPPxpYrXYN,12.89346796,77.46530154,1
127,uSpRTMsPPxpYrXY,12.8930565,77.46607831,1
128,FWnMoObNBQumEbF,12.99260036,77.62052875,0
129,LXeVIjVTvcHGAuR,13.04168761,77.64935555,0
130,VbKDuThUkVhCEke,13.07860616,77.7223663,0
131,jpwlGIswRSROHnHt,13.04131613,77.55980603,1
132,jpwlGIswRSROHnH,13.04137554,77.55885516,1
133,iULvrIPjlCxIbaS,12.88775625,77.5365935,0
134,dqBETBbjtnmCjfyH,12.98860048,77.5720966,1
135,dqBETBbjtnmCjfy,12.9887294,77.57301755,1
136,nLZxHFpewcAGrx,12.863799,77.64452529,1
137,nLZxHFpbewcAGrx,12.86385784,77.64525981,1
138,uvzKVBQcyXHtZVW,13.07281791,77.6962507,0
139,QzpbfuMOwCwbYwA,12.92404671,77.53196518,0
140,SHOpYBxDzUqDXVC,12.99388132,77.49047282,0
141,ppNmjapNRDwzKSG,12.85577323,77.46353823,0
142,VDpxVLdUJWsrQRd,13.0165377,77.66186594,0
143,NIhGiaebgXkNTXz,12.90344896,77.61073602,0
144,vbzvUUZmcsYlSNW,12.99692542,77.60442642,0
145,tKPqearmjjeXJKF,12.86043553,77.68204501,0
146,tQJDehlAWgvqTVj,12.94638308,77.73090427,0
147,YlJipaMJEgYDLGL,12.85566093,77.70590251,0
148,sybMQAzuUVMldcW,12.92319608,77.73550459,0
149,kNhxxUpqqPJLmeh,12.90008894,77.52488981,0
150,DoogkGPglaOVapTC,13.04136705,77.68444569,1
151,DoogkGPglaOVapT,13.04128267,77.68541159,1
152,AfxToToeaPWvZWPw,13.04710662,77.60154707,1
153,AfxToToeaPWvZWP,13.04793998,77.60200775,1
154,oktOgZVpMgzkIoQ,13.04352344,77.60829813,0
155,dYtwXpiLZZGKyXp,12.91862829,77.60075689,0
156,NnvpamKFZgFAymr,12.95603152,77.74012493,0
157,epgERAsQdMmYvlWO,13.07155663,77.47753799,1
158,epgERAsQdMmYvlW,13.07123212,77.47760893,1
159,OIuTonvpKemVxgj,13.0058949,77.44596757,0
160,cJsgpIDaapwLLzL,12.98537262,77.50694462,0
161,QGKQMGFUVAUvHwbi,12.95693668,77.70543799,1
162,QGKQMGFUVAUvHwb,12.95770286,77.70571514,1
163,xbqFuavSOQEbmvv,12.8739781,77.5724454,0
164,jXlmRpRPbcSCigw,12.88871668,77.68973237,0
165,zPSWlKdbuVOtkqR,13.01197464,77.66341523,0
166,ZxqUVgjukCQVYmT,12.93490366,77.72460942,0
167,cNiURThlENYskRGc,12.98476039,77.69799223,1
168,cNiURThlENYskRG,12.98379327,77.69712206,1
169,DBhEnsjgbbSoIUZY,13.07286689,77.46666114,1
170,DBhEnsjgbbSoIUZ,13.07276436,77.46578817,1
171,tNKXZupORAhTcLB,13.08963594,77.73822511,0
172,XfKIVKiFANgrzFL,12.92785866,77.52022848,0
173,eDSyWpjMyyocOyY,12.92334853,77.67778596,0
174,mMwvSDnetrjTSDh,12.95678006,77.47937814,0
175,kKcvnpZxEITgtWn,13.06920524,77.74304771,0
176,jsCAcWwwZaVQJWj,12.996604,77.67329173,0
177,IpIbcehVaYtLLQH,13.03674631,77.49266374,0
178,UwyonqUKbSPzXSa,12.9179939,77.60333463,0
179,pXiQXYXRSplaDGz,12.90456523,77.52698705,0
180,BKDioYovhahsMLe,13.08510126,77.4527782,0
181,AxKufLnhldOPnv,12.86534346,77.52254096,1
182,AxKufWLnhldOPnv,12.86453359,77.52222344,1
183,NdDtvDjHpfaPiyH,12.88531773,77.67983335,0
184,zqRqksOVHZNxmRj,12.87630747,77.54438748,0
185,pttxSxLaIpzZxHx,13.0746746,77.57028659,0
186,KdTDLHVuPULRgFl,12.94081081,77.70197592,0
187,WWNOGyYeqfvkmmx,12.86092816,77.69970491,0
188,TOKCbBDbOFiAkeE,13.04858405,77.46829898,0
189,JIisjtNghRsdZr,13.03734047,77.55605579,1
190,JKIisjtNghRsdZr,13.03800229,77.55518971,1
191,KMXYsjDVZBtjByM,12.96493712,77.64424296,0
192,wybMltMlRsyUSZUm,12.99332458,77.47070937,1
193,wybMltMlRsyUSZU,12.99264553,77.47036483,1
194,eZhnAOaNvkrmaZd,12.97645102,77.69596626,0
195,HhAfeqRCcyXQQMC,13.00331059,77.71872418,0
196,IUIUrQnxTdPuvgN,12.87738032,77.62435024,0
197,NvfVdgksiTNCgpF,12.8975894,77.72644444,0
198,LrmrIIpDnzxnKEfZ,13.02000691,77.63064691,1
199,LrmrIIpDnzxnKEf,13.01995854,77.63117947,1
200,JPDlSIxcnMvREbx,12.99378448,77.54732492,0
201,LGohaCXZoyALWDM,12.85982887,77.64417158,0
202,hsGOVBKAoXyAoNB,12.85445025,77.44794147,0
203,NjBuSQsdLLpocYw,12.91486517,77.62069408,0
204,XWyBWdhElXWkSsU,12.97371043,77.614359,0
205,KLbWzaMSxQizCvS,12.86608053,77.6778207,0
206,jQWgMYpmzAHYzHe,12.94565178,77.4822252,0
207,KxRKKqiAJLYhYMB,12.96009339,77.69009934,0
208,xKYRkBITsRosvMx,12.95759521,77.65464294,0
209,NRfshQaysaMRWIA,12.86474615,77.47818832,0
210,joTFJKovMIUVQtvT,13.02408021,77.61917823,1
211,joTFJKovMIUVQtv,13.02313643,77.61888564,1
212,kpqhwoqJYWmaitW,13.08573377,77.4901042,0
213,UWPAOdWOoDDQLsI,12.94164894,77.54177971,0
214,IfCkjzOQKtbPJee,12.8621816,77.46421703,0
215,KdTUHUUKLYARyfX,12.99237072,77.69933522,0
216,fEvlCaVXFFuAHzk,13.0878618,77.5532462,0
217,lLKnbTkIlrLJifE,12.88152578,77.46534213,0
218,GVuGPdbPLNDBxgc,13.08262035,77.67532088,0
219,UAuIbMnrqHgViZv,12.94206573,77.73847981,0
220,ukAcnnNJEQJefQP,13.060271,77.65621047,0
221,ArnQxoKYkDZyFatX,13.05004888,77.61627523,1
222,ArnQxoKYkDZyFat,13.05093302,77.6154149,1
223,ooeqqlxEaLOhdIr,12.95584811,77.57710088,0
224,OAAObErlxdVkOet,12.91261779,77.6401051,0
